state_type,total_energy,mean_amplitude,phase_rad_agent_7,phase_deg_agent_7,phase_rad_agent_8,phase_deg_agent_8,phase_rad_agent_9,phase_deg_agent_9,phase_rad_agent_10,phase_deg_agent_10
MAX_VIBRATION,0.0344541492885756,0.128432374244082,0,0,0,0,-3.14159265358979,-180,-3.14159265358979,-180
MIN_VIBRATION,0.0040952036279975,0.03647128219616,0,0,-0.431878982332581,-24.7448429480619,-0.267223447765662,-15.3107757439071,-0.108494379922039,-6.21627007042173
