target_agent_id,max_input_amp,min_input_amp,sender_7_phase_for_max_deg,sender_7_phase_for_min_deg,sender_8_phase_for_max_deg,sender_8_phase_for_min_deg,sender_9_phase_for_max_deg,sender_9_phase_for_min_deg,sender_10_phase_for_max_deg,sender_10_phase_for_min_deg
7,0.132949491007591,2.92622663500323e-11,0,0,-180,71.4559801093777,0,85.0827016651762,0,-81.4993753957612
8,0.105693420323402,2.34563231962577e-12,0,0,-180,-8.64095044913159,-180,11.8745557802419,-180,-22.6572992167783
9,0.170899832790946,1.03825928963396e-12,0,0,0,-139.988803654988,0,-52.91177491348,-180,-26.6516288583566
10,0.104186752854388,3.84821172927147e-13,0,0,0,-59.3633719252831,-180,-18.5514977679319,0,-82.0034090388922
