mode_l,singular_value_sigma,max_amplitude,min_amplitude,amplitude_ratio,suppression_percent,max_phase_deg_agent_7,min_phase_deg_agent_7,max_phase_deg_agent_8,min_phase_deg_agent_8,max_phase_deg_agent_9,min_phase_deg_agent_9,max_phase_deg_agent_10,min_phase_deg_agent_10
1,0.0950852959561193,2.74963927881528,4.71595245835624e-14,1.71511677720438e-14,99.9999999999983,0,0,0,-146.267402229624,-180,-85.9241828372989,-180,38.6518285733245
2,0.0518458056694362,2.23060976223751,0.12933609570261,0.0579823947210176,94.2017605278982,0,0,-180,179.999999999832,0,179.999999999934,-180,179.999999999969
3,0.0295641029172872,2.71518977062131,1.72751648031085e-13,6.3624152499497e-14,99.9999999999936,0,0,-180,99.9621551327385,-180,-86.1466578575162,0,156.379642468634
4,0.0116554016141533,2.25098832886408,2.90782013518083e-14,1.29179707326524e-14,99.9999999999987,0,0,0,126.819342717681,0,-65.7138255899989,0,-56.8569642611875
