trial,duration_sec,total_energy_J,mean_power_W,mean_power_mW,mode1_converged_mean,mode1_steady_std,mode1_final,mode1_overall_mean
GX011315,87.3799998760223,181.329295955547,2.08103488392226,2081.03488392226,1.73757463600655,0.0834578596429569,1.61105890942282,1.70187264765843
GX011317,65.4000000953674,141.83257919266,2.16877094466989,2168.77094466989,0.361846521742775,0.227355138806548,0.850201947965893,0.324708127487418
GX011318,55.9300000667572,124.374871758884,2.22375954962332,2223.75954962332,0.752129430527152,0.00395413113933932,0.748562357679478,0.75212364127883
GX011319,47.5199999809265,105.040674551683,2.21045190643612,2210.45190643612,0.730893540198903,0.00382033543761192,0.735454634764355,0.730926154737756
GX011320,46.4700000286102,103.056806562898,2.21770618677531,2217.70618677531,1.36548948480857,0.00622300640679593,1.37617866328616,1.36561620687845
GX011321,90.6300001144409,201.13945459356,2.21934739423564,2219.34739423564,1.36721225342513,0.00322485076420632,1.36508492280595,1.36714966124585
GX011324,61.1800000667572,137.126092408954,2.2413548914568,2241.3548914568,0.343080392174467,0.00556398949926085,0.349071970911681,0.343094493085779
GX011325,64.3499999046326,144.253474163186,2.24179794316911,2241.79794316911,0.773973138317814,0.00587696343931109,0.771853572543299,0.774025646709754
GX011326,78.0199999809265,175.321952607804,2.24714115163631,2247.14115163631,0.136701795104995,0.00546355032161233,0.14238924857121,0.136660531658116
GX011327,40.1600000858307,90.0031049551183,2.24111316640344,2241.11316640344,1.405199848638,0.00455201023736086,1.40681134869658,1.40523950871117
GX011328,52.7699999809265,118.464369723329,2.24491888887905,2244.91888887905,0.918436540715593,0.00748723487314305,0.910648509983618,0.918403829212163
GX011329,39.0999999046326,87.9663000870859,2.24977750132075,2249.77750132075,0.738555712717301,0.00421441523443571,0.73673911474489,0.738509409536237
GX011330,68.5499999523163,153.716737440051,2.24240317355182,2242.40317355182,0.171977729745987,0.00708647736161369,0.161393807989207,0.17194850148963
GX011331,75.9100000858307,169.861266621202,2.23766653180268,2237.66653180268,1.42349885274155,0.00505579112428543,1.42053362797162,1.42342104467298
GX011332,106.410000085831,239.070406286113,2.24669115772275,2246.69115772275,0.692323723265535,0.0044228789378546,0.689156391765822,0.692250129704875
GX011333,35.960000038147,80.411535599019,2.23627901228864,2236.27901228864,0.793078120340102,0.00382164037003407,0.79629257339066,0.79314031322633
GX011334,53.8199999332428,120.313946744631,2.2354876791874,2235.4876791874,0.325788048463508,0.00691349240330154,0.310067266863101,0.325750853638926
GX011335,60.1400001049042,137.120533637529,2.28002217157208,2280.02217157208,0.834680493918412,0.004823309067611,0.836621558458635,0.834686215071681
GX011336,68.5499999523163,155.032937120313,2.26160375241655,2261.60375241655,0.296849846425897,0.00697173291681501,0.290227978350435,0.296828400114274
GX011337,40.1500000953674,89.8935999040756,2.23894395244217,2238.94395244217,1.6766197649474,0.0034573596583452,1.68464660131148,1.67657673024007
GX011340,63.289999961853,139.685277973761,2.20706712052384,2207.06712052384,0.170541600972943,0.0976637642782688,0.286905809784955,0.295606233836431
GX011343,61.1900000572205,133.658069985866,2.18431230365875,2184.31230365875,0.152359154906761,0.110223763597862,0.178164205386283,0.16049068976021
GX011344,82.2300000190735,180.202324371167,2.19150714448376,2191.50714448376,0.730253358854452,0.125582945333692,0.987795801999966,0.289123082619426
GX011345,70.5999999046326,154.799326618107,2.1926250258812,2192.6250258812,0.53402000311897,0.109053706950964,0.569320516610131,0.21717097270355
GX011346,84.3299999237061,185.319819781676,2.1976267247874,2197.6267247874,0.32240861949005,0.256818779706511,0.383283794845328,0.431386012455595
GX011347,32.7999999523163,71.9211314073411,2.19287282456484,2192.87282456484,0.233021789135441,0.155568712142076,0.591527031903842,0.735287293618782
GX011348,73.8199999332428,161.582011388978,2.18894117318228,2188.94117318228,0.745798460090052,0.189300957837346,0.868039173781599,0.435291224002854
GX011349,34.8900001049042,77.2668906793354,2.21458556741233,2214.58556741233,0.625474916461741,0.0927371350516062,0.683984417949911,0.786524601806267
GX011350,81.1700000762939,178.663427254874,2.20110172584629,2201.10172584629,0.255484252812277,0.0967637221627016,0.197249004230344,0.49943470874626
GX011351,74.8700001239777,164.407630323032,2.1959850290965,2195.9850290965,0.433889811132055,0.35772522830153,1.63200186632758,0.545095896927408
GX011352,76.9700000286102,169.487731266655,2.20199728730226,2201.99728730226,0.655360258194983,0.166434160454746,0.986024020138248,0.352181693065677
GX011353,68.539999961853,151.777303812959,2.21443396407109,2214.43396407109,0.264079419777603,0.193845960173315,0.700209839808835,0.28539906724138
GX011354,80.1199998855591,176.35675990457,2.20115776530795,2201.15776530795,0.393084979432559,0.30569379890491,0.78564465235618,0.243112734473901
GX011355,50.6700000762939,111.516225131683,2.20083333261836,2200.83333261836,0.420983464755528,0.495587263626523,0.714510015518738,0.255419134680315
GX011356,74.8599998950958,167.737275311831,2.24067960922907,2240.67960922907,0.187771977049084,0.141162362463181,0.397830728417494,0.207894779123315
GX011357,60.1300001144409,135.145053805916,2.24754787208889,2247.54787208889,0.170177425561876,0.106750556743512,0.374545197412603,0.196627799252
GX011358,83.2699999809265,186.763162308697,2.24286252373576,2242.86252373576,0.614458724078726,0.131103739096361,0.320584272199075,0.588280404025133
GX011359,82.210000038147,180.950678920889,2.20107868674035,2201.07868674035,0.874855063221699,0.356993438660766,1.21646992242982,0.479173851166996
GX011360,51.7300000190735,113.407128852468,2.19240258236828,2192.40258236828,0.221502086234761,0.143575359967462,0.562233791318989,0.360490281161846
GX011361,64.3499999046326,141.368335789918,2.19686613829724,2196.86613829724,0.615641810024507,0.268566390130893,0.703891370424444,0.37630719818602
GX011362,47.5199999809265,104.852262284051,2.20659158088734,2206.59158088734,0.684998317461957,0.122090840550641,0.666047397350846,0.609552145386068
GX011363,82.2200000286102,181.001673040664,2.20143119651764,2201.43119651764,0.494562178009915,0.221859995779778,0.406254059679508,0.418490229694809
GX011364,85.3800001144409,187.270731572734,2.1933793783289,2193.3793783289,0.378420449827795,0.20624247821745,0.847112530882572,0.23881454952943
GX011365,54.8900001049042,120.112094897625,2.18834239092607,2188.34239092607,0.15119652149543,0.0812725029827899,0.128797945053203,0.168693265752834
GX011366,44.3599998950958,96.9518201011526,2.18556853765617,2185.56853765617,0.217573632169744,0.0772765911406744,0.527952752386211,0.270638732623791
GX011367,103.25,226.853597191198,2.19712927061693,2197.12927061693,0.232595446289817,0.130777002424113,0.0557180692713793,0.334090677766988
GX011368,60.1700000762939,131.515266619168,2.1857282109425,2185.7282109425,0.206377389070897,0.0708566252894505,0.311313869799176,0.253200662624288
GX011369,61.1900000572205,133.422240801939,2.18045825587796,2180.45825587796,0.20601623957992,0.130171640231373,0.393126983564742,0.277220481833943
GX011370,60.1200001239777,131.997854089574,2.19557308412129,2195.57308412129,0.431705438808484,0.191829811339591,0.758462117782604,0.339341448902269
GX011371,99.0299999713898,217.541898901263,2.19672724390702,2196.72724390702,0.523691600481759,0.102049931982575,0.523848355461736,0.278969178078655
GX011372,91.6900000572205,202.096001176865,2.2041225984376,2204.1225984376,0.484379512485732,0.334185299654595,1.19974982541347,0.33558859653514
GX011373,107.450000047684,234.966286907378,2.18674999351424,2186.74999351424,0.34413899459811,0.217627977087607,0.319539479738547,0.420946260893515
GX011374,80.1199998855591,176.4057986096,2.20176983102312,2201.76983102312,0.669733084250049,0.0717173611071031,0.517787471462156,0.437517722149436
