condition,trial,video_duration_sec,swimming_duration_sec,detected_frames,detection_rate_pct,mean_speed_px_s,max_speed_px_s,std_speed_px_s,total_distance_px,stroke_peak_freq_hz
baseline,GX011318,51.03431666666667,43.51013333333333,2609,100.0,41.46601257193285,70.14061747170437,5.469373402478075,1834.1786779252043,1.2406145024006274
baseline,GX011319,40.29025,32.76606666666667,1965,100.0,38.07658611303837,44.77610826229857,3.7235587333771694,1251.1538983195787,1.2506577392073575
baseline,GX011320,41.29125,33.767066666666665,2025,100.0,32.57942013335913,38.66726034345189,3.5778177969422678,1110.4978866775411,1.243201243201243
baseline,GX011321,80.63055,63.81374999999999,3826,100.0,41.874806770854775,84.15478163569009,5.657985138285248,2703.0433907441557,1.2533206469432292
baseline,GX011324,52.46908333333334,44.9449,2695,100.0,43.257892174690944,86.2301169338094,8.33197788521151,2001.606607332605,0.733959917633387
baseline,GX011325,56.92353333333333,49.39935,2962,100.0,36.30120619928626,51.54268168484246,2.988371508844248,1808.9872316909862,1.2546535166386616
baseline,GX011326,68.75201666666666,61.22783333333333,3671,100.0,41.32035184753019,58.56369500068532,3.0631446346520557,2545.4718107529297,1.2409274190805106
baseline,GX011327,36.21951666666667,28.695333333333334,1721,100.0,37.97909901780682,82.656867022614,5.587760763968155,1128.5569734148621,2.298689108683298
baseline,GX011328,46.046,38.521816666666666,2310,100.0,37.86734118174513,53.3965376446778,3.377671389664136,1480.7537862974166,1.8423135306252187
baseline,GX011329,35.819116666666666,28.294933333333336,1697,100.0,38.29175490410104,78.05223984999031,5.782674563274925,1119.6282831051476,0.5651390448090506
baseline,GX011330,61.227833333333336,53.703649999999996,3220,100.0,35.749527437054944,70.27387055481336,5.95946947395632,2003.1364459457832,1.0610507504917441
baseline,GX011331,68.11805,60.59386666666666,3633,100.0,33.290102750269064,79.67085953472946,5.575261601347749,2122.3459209502867,1.3528997839485037
baseline,GX011332,96.71328333333334,70.53713333333334,4229,100.0,39.689848228454714,80.44454577189492,5.73412762953274,2840.581148241574,1.544919965350327
baseline,GX011333,33.80043333333333,26.27625,1576,100.0,39.52126629969899,47.82455306188251,3.050592429200153,1043.716308943226,1.2550900875773972
baseline,GX011334,20.3203,12.796116666666666,768,100.0,40.84228684768159,53.13414447322599,1.9507802323887362,524.5559958393654,1.2487512487512487
baseline,GX011335,49.71633333333333,42.19215,2530,100.0,37.514457839185646,48.31068986237574,2.459110796427906,1594.6183984092725,1.2319696114162517
baseline,GX011336,59.90985,52.385666666666665,3141,100.0,43.32383372963453,56.66999789207187,4.849025244266966,2292.892467239088,1.259485500173179
baseline,GX011337,33.88385,26.35966666666667,1581,100.0,38.6192253714553,44.48210267275913,2.5747412457259555,1030.70422173754,1.2511207957128259
moptz,GX011359,70.35361666666667,62.829433333333334,3767,100.0,37.526536522613036,61.54627517001757,3.819225898426394,2399.9833203035364,2.020809029038389
moptz,GX011360,46.563183333333335,39.039,2341,100.0,38.44278526371315,46.86839874943116,3.367433522786828,1503.0122029637268,1.2034100030682686
moptz,GX011361,55.70565,48.181466666666665,2889,100.0,36.12255784783584,70.26310290478848,4.762262934458014,1798.3795422774228,0.5601874760753265
moptz,GX011362,43.46008333333334,35.9359,2155,100.0,35.67955599993836,41.203370279123405,2.665187065635758,1283.8389417077574,1.2238341704699012
moptz,GX011363,68.61855,61.094366666666666,3663,100.0,35.88522840071535,45.35227620228831,3.3671681061023917,2196.390207254535,1.2109103018193925
moptz,GX011364,64.3643,56.84011666666667,3408,100.0,36.29687252709538,47.22522296057218,2.6112573872737577,2068.4071738288985,1.195987111480069
moptz,GX011365,47.030316666666664,39.50613333333333,2369,100.0,36.66109877094845,44.51913456916388,3.03692067910166,1452.6508928999988,1.214488339857694
moptz,GX011366,38.20483333333333,30.680650000000004,1840,100.0,36.514515263207116,50.744510776490834,2.547812421222926,1122.0352799624088,1.2053164227077269
moptz,GX011367,94.3943,86.87011666666668,5208,100.0,35.78720815952612,63.004022935145564,4.189447720595879,3171.5706961564947,1.4041258280889615
moptz,GX011368,52.18546666666667,44.66128333333333,2678,100.0,35.15348904788266,91.72003971561927,3.740807787117439,1581.1723018394205,1.0295902752960258
moptz,GX011369,52.80275,45.27856666666666,2715,100.0,36.054142949446934,125.09639433191873,5.9674756795540045,1663.2226832059735,0.72855321474106
moptz,GX011370,47.814433333333334,40.29025,2416,100.0,38.29770432790383,45.20599856109531,3.066639379231362,1546.5776137885089,1.21567174547307
moptz,GX011371,88.00458333333333,80.4804,4825,100.0,37.358408035187864,72.27915351329628,5.530692579512229,3094.4063859667363,1.2050126039763345
moptz,GX011372,83.13305,75.60886666666667,4533,100.0,36.09763605718225,71.13606907143063,4.056799728462867,2773.5194926485237,0.7404904823832686
moptz,GX011373,93.22646666666667,85.70228333333334,5138,91.31957960295834,61.536831722158055,524.7306488534075,79.77673289680929,5365.231945881651,0.6532976560224516
moptz,GX011374,72.28888333333333,64.7647,3883,100.0,36.44972862276134,108.96574201207808,6.1816425618516515,2398.117919070526,1.9758762998526067
moptz,GX011375,78.89548333333333,71.3713,4279,100.0,34.765142445183265,43.79101126886336,3.286468819364085,2485.858642875254,1.2186925017025507
msinz,GX011317,56.67328333333334,49.1491,2947,100.0,39.29856166779377,110.67848907857112,8.37464271356076,1988.8059752096215,1.2813789535879796
msinz,GX011339,34.86816666666667,27.343983333333338,1640,100.0,39.111454892171366,45.395530076108614,2.4502907175902675,1073.1658966522464,2.558417192563534
msinz,GX011340,58.30825,50.78406666666667,3045,100.0,39.61032327368994,67.44716152402185,5.206038094277885,2059.5788294371673,1.2598239199224421
msinz,GX011341,39.723016666666666,32.19883333333333,1931,100.0,37.89616972458357,41.895703325475345,1.9881729464667273,1223.9989346198624,1.2726786419173783
msinz,GX011342,39.539500000000004,32.01531666666666,1920,100.0,40.72586940935199,68.19561901919802,3.811209160056074,1306.6006872745006,1.2799700299700298
msinz,GX011343,53.286566666666666,45.76238333333333,2744,100.0,42.02323090576039,84.6059109565999,6.073007748785186,1950.2060601618869,1.266954619724299
msinz,GX011344,68.21815,60.176783333333326,3608,100.0,41.01899392516352,93.3877048504972,6.134751144776578,2473.3384066871668,1.2792085962817668
msinz,GX011345,64.58118333333333,57.056999999999995,3421,100.0,40.38640354476451,91.12221200589866,5.889278137918273,2342.924998706436,0.911102928057035
msinz,GX011346,67.38398333333333,59.8598,3589,100.0,39.11141122324828,47.9006129769545,3.622323713200724,2348.1941110367216,1.2859806674239662
msinz,GX011347,27.77775,20.253566666666668,1215,100.0,42.217636730727804,90.57546248848169,9.685699641623438,922.0098963923206,1.184001184001184
msinz,GX011348,60.99426666666667,53.470083333333335,3206,100.0,41.227717324473474,173.51277590313865,7.869652612706327,2205.7990575767853,2.561381226384346
msinz,GX011349,33.58355,26.05936666666667,1563,100.0,43.078888868905196,53.93451020645154,3.510678620790702,1124.041576324153,1.3038784631874842
msinz,GX011350,64.94821666666667,57.424033333333334,3443,100.0,38.21921989434212,56.364785708150514,3.4751314569492857,2199.056550611177,1.2882847619995454
msinz,GX011351,69.25251666666666,61.72833333333333,3701,100.0,36.868179000917,69.21108930567978,3.718242111634369,2300.5166707777976,1.2794554810226249
msinz,GX011352,63.5635,56.039316666666664,3360,100.0,40.119582764811035,48.531910085760984,3.225363814384571,2253.7923396067304,1.2665905523048377
msinz,GX011353,62.81275,55.28856666666667,3315,100.0,39.1684244850698,81.56543108953188,5.49864734866076,2207.716304584434,1.0848879627160168
