trial,condition,mean_speed_cm_s,mean_speed_px_s,mean_power_W,cot_J_m,cot_mJ_px,cot_J_px,total_distance_m,total_distance_px,mode1_converged_mean,mode1_steady_std,mode2_converged_mean,mode2_steady_std,mode3_converged_mean,mode3_steady_std,mode4_converged_mean,mode4_steady_std,G_sum_all,G_mean_all,G_ag8,G_ag9,G_ag11,G_ag12,stroke_peak_freq_hz,total_energy_J,swimming_duration_sec,eval_window_start_sec,eval_window_end_sec
GX011318,baseline,5.345788112409148,42.3653707908425,2.226078948873007,41.641735550752976,52.54477672019304,0.05254477672019304,1.9612758206725225,1554.3110878829739,0.7521124685455355,0.004023896329068756,1.3691009538215462,0.002007259741964156,0.597166695439329,0.004391109091146653,1.0969065684930477,0.006154646536651165,0.14531870665553637,0.03632967666388409,0.00600942951193299,0.02126749867125285,0.01919366758395778,0.09884811088839275,1.2595901129478402,76.78149106824652,36.50313333333334,28.513133333333336,43.513133333333336
GX011319,baseline,4.907523859440658,38.89212658606721,2.218384726078214,45.20374815520628,57.03942984884073,0.05703942984884073,1.2687691941194383,1005.4995863396548,0.730860243385517,0.003703815689414871,0.590031897530355,0.0060575426164147,1.2969407470608096,0.006095053507650171,1.1981405585268226,0.004698695878723747,0.16442310781198577,0.04110577695299644,0.05824489102866796,0.04419468038114222,0.021942593205442524,0.04004094319673308,1.2414769696323387,52.65646356187769,25.75906666666667,18.009999999999998,32.76906666666667
GX011320,baseline,4.227280138470475,33.501195097378506,2.210460095738002,52.290362202912725,65.98152959358073,0.06598152959358074,1.1387710627270484,902.4760672111859,1.365686072205633,0.0062636909352608875,0.6240214614654951,0.0066199617855541475,0.8591263081373676,0.005730831433975453,1.003607351570622,0.007566613670309993,0.2706929551128824,0.0676732387782206,0.051968472609423506,0.06761282662193871,0.07457375867850954,0.07653789720301062,1.2324124473657474,54.71374200792073,26.760066666666667,18.770066666666665,33.770066666666665
GX011321,baseline,5.432286820009138,43.05087304857241,2.2223757567829567,40.91050105449363,51.62208334951878,0.05162208334951878,3.286180622950032,2604.2981436879,1.3670965299877231,0.002543845257498535,0.22704784497811012,0.00837949342724527,0.5329796395448311,0.004901966351427594,1.3398958530110985,0.0027416277968661563,0.2603727428232102,0.06509318570580255,0.05209787553629369,0.07351766017071779,0.054538828884583154,0.0802183782316156,1.2452921040178953,129.33894525085947,60.210150000000006,52.220150000000004,67.22015
GX011324,baseline,5.546565683061045,43.956533038258776,2.2507641808957595,40.579419942136255,51.20431538439906,0.05120431538439906,2.111912215584718,1673.6904308508888,0.3430525238954647,0.0054360439654327995,1.1513308316504347,0.0032052004423746543,1.0870139923541753,0.005455264753304385,1.1726222720551929,0.006352868972964551,0.1199903794331223,0.029997594858280574,0.012739519472666652,0.025243239045550325,0.07002501407358283,0.011982606841322496,1.2383221174430257,80.84279789005788,37.9379,29.947899999999997,44.9479
GX011325,baseline,4.609212866282596,36.52801196528957,2.2484989119781833,48.78270926531613,61.555469104499856,0.061555469104499855,1.970547857107977,1561.6591767580717,0.7739635939346903,0.005866833341021022,1.2242792354201775,0.006025268368075646,0.6547684212772551,0.007456838336758897,1.2137786883998358,0.0037529515393987466,0.17836286963492312,0.04459071740873078,0.02391976037915435,0.04826212562043133,0.0258766528429495,0.08030433079238794,1.249733743832908,90.79283565692134,42.39235,34.40235,49.40235
GX011326,baseline,5.234941751922705,41.48691338398743,2.2583248019588202,43.139444696388,54.43463053171988,0.05443463053171988,2.8477588044970017,2256.8488525638736,0.13662903758545883,0.005228745163057231,1.0148444083675716,0.004657893803528485,1.5155309384237146,0.006640091402210252,0.8089648137481409,0.008498315066444643,0.13728269213757982,0.034320673034394955,0.025996189569956044,0.02582481681927829,0.03832877544347479,0.04713291030487071,1.2556759322009157,117.69981534887243,54.137416666666674,46.14741666666667,61.14741666666667
GX011327,baseline,4.630551762703726,36.69712271942702,2.23978021960603,48.36961844690077,61.034218860442614,0.061034218860442614,1.0235805381587555,811.1875764908136,1.4052167143058303,0.00428722222902533,0.6178082413975299,0.009243239118301787,0.3139448482446986,0.005731913598400236,1.2429687442201751,0.0031241608991024665,0.27541076999292247,0.06885269249823062,0.06426493470596126,0.06651513723416645,0.06331346714531416,0.08131723090748058,1.243952051023564,44.0506979013516,21.688333333333333,18.009999999999998,28.69833333333333
GX011328,baseline,4.749389424860108,37.63891119201635,2.248949214812633,47.3523860359982,59.75064484037629,0.05975064484037629,1.516682480907777,1201.9708661194131,0.9182688910527244,0.007810370631583289,0.8570311617030975,0.006980115312268967,1.2207411778458541,0.005198547999086498,0.9653330088462603,0.008147205329266332,0.20259329258464795,0.05064832314616199,0.03700482776378662,0.051707385168357094,0.07274832828771548,0.04113275136478876,1.236858379715552,66.34809759897621,31.51481666666667,23.524816666666666,38.524816666666666
GX011329,baseline,4.952980386340206,39.25236956174613,2.2404657424608274,45.23469845832207,57.07848385908148,0.05707848385908148,1.0611459815006385,840.958190339256,0.7384113318122287,0.004090802399557232,1.4087791536309457,0.0020399821215904834,1.1612670947683104,0.0051031915757332605,0.34852364876200087,0.0057568525692282225,0.1583130081410154,0.03957825203525385,0.004953301546364719,0.02290378590498732,0.030581040950797778,0.09987487973886558,2.4877237093369238,43.17011704381882,21.287933333333335,18.009999999999998,28.297933333333333
